invoice_id,customer_id,invoice_amount,payment_status,decline_reason,retry_count,days_past_due
INV-00121,CUST-00121,95.29,paid,none,0,0
INV-00122,CUST-00122,91.31,paid,none,0,0
INV-00123,CUST-00123,63.7,paid,none,0,0
INV-00124,CUST-00124,45.83,paid,none,0,0
INV-00125,CUST-00125,69.34,paid,none,0,0
INV-00126,CUST-00126,59.4,paid,none,0,0
INV-00127,CUST-00127,57.91,paid,none,0,0
INV-00128,CUST-00128,154.02,paid,none,0,0
INV-00129,CUST-00129,36.9,paid,none,0,0
INV-00130,CUST-00130,37.05,paid,none,0,0
INV-00131,CUST-00131,52.93,paid,none,0,0
INV-00132,CUST-00132,63.34,paid,none,0,0
INV-00133,CUST-00133,204.68,paid,none,0,0
INV-00134,CUST-00134,57.89,paid,none,0,0
INV-00135,CUST-00135,67.53,paid,none,0,0
INV-00136,CUST-00136,45.31,paid,none,0,0
INV-00137,CUST-00137,241.98,paid,none,0,0
INV-00138,CUST-00138,30.49,paid,none,0,0
INV-00139,CUST-00139,78.33,paid,none,0,0
INV-00140,CUST-00140,56.24,paid,none,0,0
INV-00141,CUST-00141,59.71,paid,none,0,0
INV-00142,CUST-00142,57.83,failed,soft_decline,3,16
INV-00143,CUST-00143,51.99,paid,none,0,0
INV-00144,CUST-00144,42.63,paid,none,0,0
INV-00145,CUST-00145,103.97,paid,none,0,0
INV-00146,CUST-00146,49.65,paid,none,0,0
INV-00147,CUST-00147,106.49,paid,none,0,0
INV-00148,CUST-00148,97.17,paid,none,0,0
INV-00149,CUST-00149,109.46,paid,none,0,0
INV-00150,CUST-00150,18.11,paid,none,0,0
INV-00151,CUST-00151,58.05,paid,none,0,0
INV-00152,CUST-00152,59.23,paid,none,0,0
INV-00153,CUST-00153,28.63,paid,none,0,0
INV-00154,CUST-00154,65.95,paid,none,0,0
INV-00155,CUST-00155,74.75,paid,none,0,0
INV-00156,CUST-00156,58.93,paid,none,0,0
INV-00157,CUST-00157,105.36,paid,none,0,0
INV-00158,CUST-00158,70.49,failed,authentication_required,1,17
INV-00159,CUST-00159,67.45,paid,none,0,0
INV-00160,CUST-00160,49.61,paid,none,0,0
INV-00161,CUST-00161,107.96,paid,none,0,0
INV-00162,CUST-00162,66.56,paid,none,0,0
INV-00163,CUST-00163,54.98,failed,insufficient_funds,3,8
INV-00164,CUST-00164,49.84,paid,none,0,0
INV-00165,CUST-00165,45.73,paid,none,0,0
INV-00166,CUST-00166,126.06,paid,none,0,0
INV-00167,CUST-00167,55.49,failed,authentication_required,2,13
INV-00168,CUST-00168,59.77,paid,none,0,0
INV-00169,CUST-00169,87.88,paid,none,0,0
INV-00170,CUST-00170,66.6,paid,none,0,0
INV-00171,CUST-00171,170.4,paid,none,0,0
INV-00172,CUST-00172,68.45,paid,none,0,0
INV-00173,CUST-00173,60.6,paid,none,0,0
INV-00174,CUST-00174,21.79,paid,none,0,0
INV-00175,CUST-00175,59.96,recovered,expired_card,1,0
INV-00176,CUST-00176,35.4,paid,none,0,0
INV-00177,CUST-00177,60.75,paid,none,0,0
INV-00178,CUST-00178,84.32,paid,none,0,0
INV-00179,CUST-00179,58.2,paid,none,0,0
INV-00180,CUST-00180,42.46,recovered,insufficient_funds,3,0
INV-00181,CUST-00181,94.0,recovered,expired_card,1,0
INV-00182,CUST-00182,98.51,paid,none,0,0
INV-00183,CUST-00183,162.45,paid,none,0,0
INV-00184,CUST-00184,59.58,paid,none,0,0
INV-00185,CUST-00185,41.74,paid,none,0,0
INV-00186,CUST-00186,76.19,paid,none,0,0
INV-00187,CUST-00187,72.33,paid,none,0,0
INV-00188,CUST-00188,53.11,paid,none,0,0
INV-00189,CUST-00189,107.68,paid,none,0,0
INV-00190,CUST-00190,178.38,paid,none,0,0
INV-00191,CUST-00191,78.44,paid,none,0,0
INV-00192,CUST-00192,135.24,paid,none,0,0
INV-00193,CUST-00193,61.71,paid,none,0,0
INV-00194,CUST-00194,53.12,paid,none,0,0
INV-00195,CUST-00195,64.35,failed,soft_decline,2,8
INV-00196,CUST-00196,49.47,paid,none,0,0
INV-00197,CUST-00197,88.08,paid,none,0,0
INV-00198,CUST-00198,39.1,paid,none,0,0
INV-00199,CUST-00199,47.32,paid,none,0,0
INV-00200,CUST-00200,69.48,paid,none,0,0
INV-00201,CUST-00201,93.17,paid,none,0,0
INV-00202,CUST-00202,37.29,paid,none,0,0
INV-00203,CUST-00203,60.28,paid,none,0,0
INV-00204,CUST-00204,44.76,paid,none,0,0
INV-00205,CUST-00205,55.51,paid,none,0,0
INV-00206,CUST-00206,65.3,paid,none,0,0
INV-00207,CUST-00207,141.83,paid,none,0,0
INV-00208,CUST-00208,139.81,paid,none,0,0
INV-00209,CUST-00209,30.8,paid,none,0,0
INV-00210,CUST-00210,109.18,paid,none,0,0
INV-00211,CUST-00211,68.39,paid,none,0,0
INV-00212,CUST-00212,45.06,paid,none,0,0
INV-00213,CUST-00213,120.61,paid,none,0,0
INV-00214,CUST-00214,58.24,paid,none,0,0
INV-00215,CUST-00215,36.22,paid,none,0,0
INV-00216,CUST-00216,146.8,paid,none,0,0
INV-00217,CUST-00217,30.64,paid,none,0,0
INV-00218,CUST-00218,51.99,paid,none,0,0
INV-00219,CUST-00219,27.92,paid,none,0,0
INV-00220,CUST-00220,97.25,paid,none,0,0
INV-00221,CUST-00221,80.25,paid,none,0,0
INV-00222,CUST-00222,94.42,paid,none,0,0
INV-00223,CUST-00223,48.47,paid,none,0,0
INV-00224,CUST-00224,60.59,paid,none,0,0
INV-00225,CUST-00225,86.81,paid,none,0,0
INV-00226,CUST-00226,148.19,paid,none,0,0
INV-00227,CUST-00227,95.56,paid,none,0,0
INV-00228,CUST-00228,118.38,paid,none,0,0
INV-00229,CUST-00229,79.37,paid,none,0,0
INV-00230,CUST-00230,39.94,paid,none,0,0
INV-00231,CUST-00231,45.08,paid,none,0,0
INV-00232,CUST-00232,70.63,paid,none,0,0
INV-00233,CUST-00233,128.16,paid,none,0,0
INV-00234,CUST-00234,75.39,paid,none,0,0
INV-00235,CUST-00235,130.05,paid,none,0,0
INV-00236,CUST-00236,69.11,recovered,expired_card,3,0
INV-00237,CUST-00237,80.81,paid,none,0,0
INV-00238,CUST-00238,47.28,paid,none,0,0
INV-00239,CUST-00239,134.84,failed,gateway_issue,1,5
INV-00240,CUST-00240,96.84,paid,none,0,0
INV-00241,CUST-00241,76.29,paid,none,0,0
INV-00242,CUST-00242,62.5,paid,none,0,0
INV-00243,CUST-00243,42.87,paid,none,0,0
INV-00244,CUST-00244,94.96,paid,none,0,0
INV-00245,CUST-00245,60.48,paid,none,0,0
INV-00246,CUST-00246,82.16,paid,none,0,0
INV-00247,CUST-00247,192.46,paid,none,0,0
INV-00248,CUST-00248,46.83,paid,none,0,0
INV-00249,CUST-00249,79.89,paid,none,0,0
INV-00250,CUST-00250,49.55,paid,none,0,0
INV-00251,CUST-00251,74.58,paid,none,0,0
INV-00252,CUST-00252,28.44,paid,none,0,0
INV-00253,CUST-00253,134.36,paid,none,0,0
INV-00254,CUST-00254,142.04,paid,none,0,0
INV-00255,CUST-00255,46.71,paid,none,0,0
INV-00256,CUST-00256,38.91,paid,none,0,0
INV-00257,CUST-00257,91.5,paid,none,0,0
INV-00258,CUST-00258,33.54,paid,none,0,0
INV-00259,CUST-00259,26.18,paid,none,0,0
INV-00260,CUST-00260,51.33,paid,none,0,0
INV-00261,CUST-00261,102.28,paid,none,0,0
INV-00262,CUST-00262,34.44,paid,none,0,0
INV-00263,CUST-00263,57.16,paid,none,0,0
INV-00264,CUST-00264,40.16,paid,none,0,0
INV-00265,CUST-00265,88.97,paid,none,0,0
INV-00266,CUST-00266,44.84,paid,none,0,0
INV-00267,CUST-00267,61.22,paid,none,0,0
INV-00268,CUST-00268,83.95,paid,none,0,0
INV-00269,CUST-00269,44.54,paid,none,0,0
INV-00270,CUST-00270,57.59,paid,none,0,0
INV-00271,CUST-00271,31.63,paid,none,0,0
INV-00272,CUST-00272,128.41,paid,none,0,0
INV-00273,CUST-00273,55.02,failed,authentication_required,1,14
INV-00274,CUST-00274,65.19,paid,none,0,0
INV-00275,CUST-00275,50.31,paid,none,0,0
INV-00276,CUST-00276,56.14,paid,none,0,0
INV-00277,CUST-00277,48.55,paid,none,0,0
INV-00278,CUST-00278,99.71,paid,none,0,0
INV-00279,CUST-00279,61.55,paid,none,0,0
INV-00280,CUST-00280,87.85,paid,none,0,0
INV-00281,CUST-00281,82.06,paid,none,0,0
INV-00282,CUST-00282,130.93,paid,none,0,0
INV-00283,CUST-00283,197.37,failed,gateway_issue,1,4
INV-00284,CUST-00284,53.6,paid,none,0,0
INV-00285,CUST-00285,68.31,paid,none,0,0
INV-00286,CUST-00286,181.37,paid,none,0,0
INV-00287,CUST-00287,47.56,paid,none,0,0
INV-00288,CUST-00288,103.03,paid,none,0,0
INV-00289,CUST-00289,64.49,paid,none,0,0
INV-00290,CUST-00290,39.88,paid,none,0,0
INV-00291,CUST-00291,155.84,paid,none,0,0
INV-00292,CUST-00292,42.64,paid,none,0,0
INV-00293,CUST-00293,84.05,paid,none,0,0
INV-00294,CUST-00294,48.44,paid,none,0,0
INV-00295,CUST-00295,156.92,paid,none,0,0
INV-00296,CUST-00296,64.63,paid,none,0,0
INV-00297,CUST-00297,35.82,paid,none,0,0
INV-00298,CUST-00298,71.94,paid,none,0,0
INV-00299,CUST-00299,40.95,paid,none,0,0
INV-00300,CUST-00300,48.53,paid,none,0,0
INV-00301,CUST-00301,90.66,paid,none,0,0
INV-00302,CUST-00302,58.55,paid,none,0,0
INV-00303,CUST-00303,33.26,paid,none,0,0
INV-00304,CUST-00304,198.74,paid,none,0,0
INV-00305,CUST-00305,34.63,paid,none,0,0
INV-00306,CUST-00306,47.77,paid,none,0,0
INV-00307,CUST-00307,28.06,paid,none,0,0
INV-00308,CUST-00308,68.77,paid,none,0,0
INV-00309,CUST-00309,42.21,paid,none,0,0
INV-00310,CUST-00310,134.97,paid,none,0,0
INV-00311,CUST-00311,87.64,paid,none,0,0
INV-00312,CUST-00312,71.7,paid,none,0,0
INV-00313,CUST-00313,160.86,paid,none,0,0
INV-00314,CUST-00314,113.04,paid,none,0,0
INV-00315,CUST-00315,56.42,paid,none,0,0
INV-00316,CUST-00316,107.45,paid,none,0,0
INV-00317,CUST-00317,117.65,paid,none,0,0
INV-00318,CUST-00318,29.74,paid,none,0,0
INV-00319,CUST-00319,38.19,paid,none,0,0
INV-00320,CUST-00320,30.0,paid,none,0,0
INV-00321,CUST-00321,112.54,paid,none,0,0
INV-00322,CUST-00322,159.57,paid,none,0,0
INV-00323,CUST-00323,56.0,paid,none,0,0
INV-00324,CUST-00324,52.51,paid,none,0,0
INV-00325,CUST-00325,112.12,paid,none,0,0
INV-00326,CUST-00326,66.52,paid,none,0,0
INV-00327,CUST-00327,124.15,paid,none,0,0
INV-00328,CUST-00328,92.3,paid,none,0,0
INV-00329,CUST-00329,64.85,paid,none,0,0
INV-00330,CUST-00330,166.59,paid,none,0,0
INV-00331,CUST-00331,39.21,paid,none,0,0
INV-00332,CUST-00332,40.25,paid,none,0,0
INV-00333,CUST-00333,52.87,paid,none,0,0
INV-00334,CUST-00334,36.94,paid,none,0,0
INV-00335,CUST-00335,50.01,paid,none,0,0
INV-00336,CUST-00336,52.25,paid,none,0,0
INV-00337,CUST-00337,40.92,paid,none,0,0
INV-00338,CUST-00338,36.07,paid,none,0,0
INV-00339,CUST-00339,18.72,paid,none,0,0
INV-00340,CUST-00340,64.45,paid,none,0,0
INV-00341,CUST-00341,48.87,paid,none,0,0
INV-00342,CUST-00342,28.98,paid,none,0,0
INV-00343,CUST-00343,38.51,paid,none,0,0
INV-00344,CUST-00344,115.78,paid,none,0,0
INV-00345,CUST-00345,55.36,paid,none,0,0
INV-00346,CUST-00346,36.36,paid,none,0,0
INV-00347,CUST-00347,49.27,recovered,insufficient_funds,3,0
INV-00348,CUST-00348,57.73,paid,none,0,0
INV-00349,CUST-00349,46.02,paid,none,0,0
INV-00350,CUST-00350,44.22,paid,none,0,0
INV-00351,CUST-00351,88.13,paid,none,0,0
INV-00352,CUST-00352,44.39,paid,none,0,0
INV-00353,CUST-00353,61.28,paid,none,0,0
INV-00354,CUST-00354,45.83,paid,none,0,0
INV-00355,CUST-00355,110.34,paid,none,0,0
INV-00356,CUST-00356,74.37,paid,none,0,0
INV-00357,CUST-00357,56.66,paid,none,0,0
INV-00358,CUST-00358,62.98,paid,none,0,0
INV-00359,CUST-00359,51.13,paid,none,0,0
INV-00360,CUST-00360,80.84,paid,none,0,0
INV-00361,CUST-00361,38.9,paid,none,0,0
INV-00362,CUST-00362,56.47,paid,none,0,0
INV-00363,CUST-00363,64.15,paid,none,0,0
INV-00364,CUST-00364,78.99,paid,none,0,0
INV-00365,CUST-00365,54.73,paid,none,0,0
INV-00366,CUST-00366,123.97,failed,gateway_issue,2,6
INV-00367,CUST-00367,51.58,paid,none,0,0
INV-00368,CUST-00368,40.58,paid,none,0,0
INV-00369,CUST-00369,28.6,paid,none,0,0
INV-00370,CUST-00370,76.48,paid,none,0,0
INV-00371,CUST-00371,37.31,paid,none,0,0
INV-00372,CUST-00372,73.15,paid,none,0,0
INV-00373,CUST-00373,43.36,paid,none,0,0
INV-00374,CUST-00374,70.79,paid,none,0,0
INV-00375,CUST-00375,121.87,paid,none,0,0
INV-00376,CUST-00376,70.93,paid,none,0,0
INV-00377,CUST-00377,38.96,paid,none,0,0
INV-00378,CUST-00378,132.04,paid,none,0,0
INV-00379,CUST-00379,84.85,paid,none,0,0
INV-00380,CUST-00380,38.23,paid,none,0,0
INV-00381,CUST-00381,57.92,paid,none,0,0
INV-00382,CUST-00382,33.7,paid,none,0,0
INV-00383,CUST-00383,58.85,paid,none,0,0
INV-00384,CUST-00384,121.79,paid,none,0,0
INV-00385,CUST-00385,48.66,paid,none,0,0
INV-00386,CUST-00386,38.15,paid,none,0,0
INV-00387,CUST-00387,78.05,paid,none,0,0
INV-00388,CUST-00388,41.1,paid,none,0,0
INV-00389,CUST-00389,71.54,paid,none,0,0
INV-00390,CUST-00390,36.24,paid,none,0,0
INV-00391,CUST-00391,20.09,paid,none,0,0
INV-00392,CUST-00392,149.65,paid,none,0,0
INV-00393,CUST-00393,134.87,paid,none,0,0
INV-00394,CUST-00394,91.86,paid,none,0,0
INV-00395,CUST-00395,65.01,paid,none,0,0
INV-00396,CUST-00396,70.95,paid,none,0,0
INV-00397,CUST-00397,113.18,paid,none,0,0
INV-00398,CUST-00398,62.03,paid,none,0,0
INV-00399,CUST-00399,68.24,failed,authentication_required,1,9
INV-00400,CUST-00400,166.88,paid,none,0,0
INV-00401,CUST-00401,45.76,paid,none,0,0
INV-00402,CUST-00402,166.9,paid,none,0,0
INV-00403,CUST-00403,34.63,paid,none,0,0
INV-00404,CUST-00404,67.43,paid,none,0,0
INV-00405,CUST-00405,100.36,paid,none,0,0
INV-00406,CUST-00406,149.77,paid,none,0,0
INV-00407,CUST-00407,69.49,paid,none,0,0
INV-00408,CUST-00408,50.64,failed,expired_card,2,6
INV-00409,CUST-00409,128.84,paid,none,0,0
INV-00410,CUST-00410,56.06,paid,none,0,0
INV-00411,CUST-00411,138.72,paid,none,0,0
INV-00412,CUST-00412,113.61,paid,none,0,0
INV-00413,CUST-00413,34.76,paid,none,0,0
INV-00414,CUST-00414,44.49,paid,none,0,0
INV-00415,CUST-00415,19.5,paid,none,0,0
INV-00416,CUST-00416,62.96,paid,none,0,0
INV-00417,CUST-00417,81.2,paid,none,0,0
INV-00418,CUST-00418,64.56,paid,none,0,0
INV-00419,CUST-00419,52.34,paid,none,0,0
INV-00420,CUST-00420,64.02,paid,none,0,0
INV-00421,CUST-00421,53.11,paid,none,0,0
INV-00422,CUST-00422,62.82,paid,none,0,0
INV-00423,CUST-00423,76.5,failed,gateway_issue,1,14
INV-00424,CUST-00424,49.0,paid,none,0,0
INV-00425,CUST-00425,84.67,paid,none,0,0
INV-00426,CUST-00426,64.34,paid,none,0,0
INV-00427,CUST-00427,79.42,paid,none,0,0
INV-00428,CUST-00428,52.92,paid,none,0,0
INV-00429,CUST-00429,40.69,paid,none,0,0
INV-00430,CUST-00430,81.79,recovered,expired_card,2,0
INV-00431,CUST-00431,53.06,paid,none,0,0
INV-00432,CUST-00432,67.26,paid,none,0,0
INV-00433,CUST-00433,89.14,paid,none,0,0
INV-00434,CUST-00434,43.29,paid,none,0,0
INV-00435,CUST-00435,88.91,paid,none,0,0
INV-00436,CUST-00436,88.0,failed,authentication_required,1,6
INV-00437,CUST-00437,59.26,paid,none,0,0
INV-00438,CUST-00438,45.88,failed,expired_card,2,1
INV-00439,CUST-00439,133.4,paid,none,0,0
INV-00440,CUST-00440,70.02,paid,none,0,0
INV-00441,CUST-00441,50.05,paid,none,0,0
INV-00442,CUST-00442,62.26,paid,none,0,0
INV-00443,CUST-00443,106.68,paid,none,0,0
INV-00444,CUST-00444,72.79,paid,none,0,0
INV-00445,CUST-00445,34.2,paid,none,0,0
INV-00446,CUST-00446,54.31,paid,none,0,0
INV-00447,CUST-00447,107.17,paid,none,0,0
INV-00448,CUST-00448,50.82,paid,none,0,0
INV-00449,CUST-00449,91.43,paid,none,0,0
INV-00450,CUST-00450,42.84,paid,none,0,0
INV-00451,CUST-00451,48.5,paid,none,0,0
INV-00452,CUST-00452,109.17,paid,none,0,0
INV-00453,CUST-00453,35.94,paid,none,0,0
INV-00454,CUST-00454,60.35,paid,none,0,0
INV-00455,CUST-00455,64.72,paid,none,0,0
INV-00456,CUST-00456,51.22,paid,none,0,0
INV-00457,CUST-00457,54.99,paid,none,0,0
INV-00458,CUST-00458,137.35,paid,none,0,0
INV-00459,CUST-00459,75.76,paid,none,0,0
INV-00460,CUST-00460,72.4,paid,none,0,0
INV-00461,CUST-00461,48.38,paid,none,0,0
INV-00462,CUST-00462,30.85,paid,none,0,0
INV-00463,CUST-00463,193.78,failed,insufficient_funds,3,4
INV-00464,CUST-00464,102.87,paid,none,0,0
INV-00465,CUST-00465,52.28,paid,none,0,0
INV-00466,CUST-00466,55.72,paid,none,0,0
INV-00467,CUST-00467,42.32,paid,none,0,0
INV-00468,CUST-00468,49.37,paid,none,0,0
INV-00469,CUST-00469,53.92,paid,none,0,0
INV-00470,CUST-00470,133.47,paid,none,0,0
INV-00471,CUST-00471,55.38,paid,none,0,0
INV-00472,CUST-00472,73.41,paid,none,0,0
INV-00473,CUST-00473,52.69,paid,none,0,0
INV-00474,CUST-00474,67.76,failed,authentication_required,1,5
INV-00475,CUST-00475,70.51,paid,none,0,0
INV-00476,CUST-00476,48.81,paid,none,0,0
INV-00477,CUST-00477,205.33,paid,none,0,0
INV-00478,CUST-00478,93.42,paid,none,0,0
INV-00479,CUST-00479,52.86,paid,none,0,0
INV-00480,CUST-00480,100.61,paid,none,0,0
INV-00481,CUST-00481,67.07,paid,none,0,0
INV-00482,CUST-00482,71.57,paid,none,0,0
INV-00483,CUST-00483,40.0,paid,none,0,0
INV-00484,CUST-00484,125.36,paid,none,0,0
INV-00485,CUST-00485,80.09,paid,none,0,0
INV-00486,CUST-00486,46.37,paid,none,0,0
INV-00487,CUST-00487,54.99,paid,none,0,0
INV-00488,CUST-00488,105.07,paid,none,0,0
INV-00489,CUST-00489,31.6,failed,insufficient_funds,3,16
INV-00490,CUST-00490,57.63,paid,none,0,0
INV-00491,CUST-00491,154.6,paid,none,0,0
INV-00492,CUST-00492,31.34,paid,none,0,0
INV-00493,CUST-00493,47.49,paid,none,0,0
INV-00494,CUST-00494,48.49,paid,none,0,0
INV-00495,CUST-00495,24.93,paid,none,0,0
INV-00496,CUST-00496,66.18,paid,none,0,0
INV-00497,CUST-00497,48.78,paid,none,0,0
INV-00498,CUST-00498,51.64,paid,none,0,0
INV-00499,CUST-00499,58.64,paid,none,0,0
INV-00500,CUST-00500,138.74,failed,soft_decline,2,15
INV-00501,CUST-00501,47.34,paid,none,0,0
INV-00502,CUST-00502,69.8,paid,none,0,0
INV-00503,CUST-00503,55.46,paid,none,0,0
INV-00504,CUST-00504,118.6,paid,none,0,0
INV-00505,CUST-00505,41.46,paid,none,0,0
INV-00506,CUST-00506,67.97,paid,none,0,0
INV-00507,CUST-00507,55.06,paid,none,0,0
INV-00508,CUST-00508,67.47,paid,none,0,0
INV-00509,CUST-00509,57.23,paid,none,0,0
INV-00510,CUST-00510,75.53,paid,none,0,0
INV-00511,CUST-00511,36.64,paid,none,0,0
INV-00512,CUST-00512,24.09,paid,none,0,0
INV-00513,CUST-00513,60.27,paid,none,0,0
INV-00514,CUST-00514,85.31,paid,none,0,0
INV-00515,CUST-00515,51.12,paid,none,0,0
INV-00516,CUST-00516,47.07,paid,none,0,0
INV-00517,CUST-00517,47.14,paid,none,0,0
INV-00518,CUST-00518,60.19,paid,none,0,0
INV-00519,CUST-00519,72.22,paid,none,0,0
INV-00520,CUST-00520,160.12,paid,none,0,0
INV-00521,CUST-00521,62.96,paid,none,0,0
INV-00522,CUST-00522,74.84,paid,none,0,0
INV-00523,CUST-00523,107.0,paid,none,0,0
INV-00524,CUST-00524,68.4,paid,none,0,0
INV-00525,CUST-00525,61.98,paid,none,0,0
INV-00526,CUST-00526,75.83,paid,none,0,0
INV-00527,CUST-00527,65.1,paid,none,0,0
INV-00528,CUST-00528,55.93,paid,none,0,0
INV-00529,CUST-00529,127.4,paid,none,0,0
