order_id,customer_id,brand,sku,promised_days,actual_days,late_flag,fulfillment_status
ORD-00048,CUST-02519,DermaCo Labs,DL-CLEANSER-03,4,5,0,on_time
ORD-00049,CUST-01955,Northstar Apparel,NA-DENIM-02,4,6,1,late
ORD-00050,CUST-00388,DermaCo Labs,DL-SERUM-01,2,2,0,on_time
ORD-00051,CUST-00451,Northstar Apparel,NA-TEE-01,5,5,0,on_time
ORD-00052,CUST-00808,Northstar Apparel,NA-JACKET-03,2,2,0,on_time
ORD-00053,CUST-00889,DermaCo Labs,DL-CREAM-02,5,6,0,on_time
ORD-00054,CUST-02163,VitalEdge Wellness,VW-BUNDLE-03,3,3,0,on_time
ORD-00055,CUST-01768,Northstar Apparel,NA-JACKET-03,4,4,0,on_time
ORD-00056,CUST-00508,Northstar Apparel,NA-TEE-01,4,5,0,on_time
ORD-00057,CUST-00681,Northstar Apparel,NA-TEE-01,4,3,0,on_time
ORD-00058,CUST-00071,Northstar Apparel,NA-TEE-01,3,4,0,on_time
ORD-00059,CUST-02425,Voltix Home,VH-BATTERY-02,3,4,0,on_time
ORD-00060,CUST-00195,Northstar Apparel,NA-DENIM-02,4,6,1,late
ORD-00061,CUST-00074,Northstar Apparel,NA-TEE-01,4,5,0,on_time
ORD-00062,CUST-01314,Voltix Home,VH-CLEAN-03,2,2,0,on_time
ORD-00063,CUST-00408,Northstar Apparel,NA-DENIM-02,4,5,0,on_time
ORD-00064,CUST-02501,VitalEdge Wellness,VW-BUNDLE-03,3,7,1,late
ORD-00065,CUST-01564,VitalEdge Wellness,VW-CAPSULE-01,2,3,0,on_time
ORD-00066,CUST-01388,VitalEdge Wellness,VW-BUNDLE-03,5,5,0,on_time
ORD-00067,CUST-01478,Voltix Home,VH-CLEAN-03,4,3,0,on_time
ORD-00068,CUST-02348,DermaCo Labs,DL-CREAM-02,3,3,0,on_time
ORD-00069,CUST-01150,DermaCo Labs,DL-SERUM-01,2,1,0,on_time
ORD-00070,CUST-02516,Northstar Apparel,NA-DENIM-02,4,6,1,late
ORD-00071,CUST-01617,Northstar Apparel,NA-TEE-01,4,3,0,on_time
ORD-00072,CUST-01058,DermaCo Labs,DL-SERUM-01,4,4,0,on_time
ORD-00073,CUST-00765,Northstar Apparel,NA-JACKET-03,5,4,0,on_time
ORD-00074,CUST-01104,VitalEdge Wellness,VW-CAPSULE-01,3,3,0,on_time
ORD-00075,CUST-01678,DermaCo Labs,DL-CLEANSER-03,2,4,1,late
ORD-00076,CUST-01449,DermaCo Labs,DL-CLEANSER-03,2,4,1,late
ORD-00077,CUST-02084,VitalEdge Wellness,VW-PROTEIN-02,3,2,0,on_time
ORD-00078,CUST-00669,DermaCo Labs,DL-CLEANSER-03,4,7,1,late
ORD-00079,CUST-01622,VitalEdge Wellness,VW-PROTEIN-02,4,5,0,on_time
ORD-00080,CUST-01357,VitalEdge Wellness,VW-PROTEIN-02,3,4,0,on_time
ORD-00081,CUST-01208,Voltix Home,VH-CLEAN-03,5,6,0,on_time
ORD-00082,CUST-00472,VitalEdge Wellness,VW-BUNDLE-03,2,2,0,on_time
ORD-00083,CUST-01271,VitalEdge Wellness,VW-PROTEIN-02,4,2,0,on_time
ORD-00084,CUST-01303,VitalEdge Wellness,VW-BUNDLE-03,2,2,0,on_time
ORD-00085,CUST-02536,VitalEdge Wellness,VW-CAPSULE-01,4,3,0,on_time
ORD-00086,CUST-01548,DermaCo Labs,DL-SERUM-01,3,1,0,on_time
ORD-00087,CUST-00810,VitalEdge Wellness,VW-BUNDLE-03,3,5,1,late
ORD-00088,CUST-01361,DermaCo Labs,DL-CLEANSER-03,5,7,1,late
ORD-00089,CUST-01270,DermaCo Labs,DL-CLEANSER-03,3,5,1,late
ORD-00090,CUST-01331,Voltix Home,VH-BATTERY-02,2,4,1,late
ORD-00091,CUST-00655,Northstar Apparel,NA-DENIM-02,4,4,0,on_time
ORD-00092,CUST-00835,Northstar Apparel,NA-TEE-01,3,5,1,late
ORD-00093,CUST-00891,DermaCo Labs,DL-CLEANSER-03,5,7,1,late
ORD-00094,CUST-01237,DermaCo Labs,DL-CLEANSER-03,4,7,1,late
ORD-00095,CUST-00319,DermaCo Labs,DL-SERUM-01,4,5,0,on_time
ORD-00096,CUST-01672,VitalEdge Wellness,VW-PROTEIN-02,5,9,1,late
ORD-00097,CUST-02041,VitalEdge Wellness,VW-PROTEIN-02,4,2,0,on_time
ORD-00098,CUST-00423,Voltix Home,VH-FILTER-01,3,1,0,on_time
ORD-00099,CUST-00603,DermaCo Labs,DL-CREAM-02,4,6,1,late
ORD-00100,CUST-01339,Northstar Apparel,NA-TEE-01,4,6,1,late
ORD-00101,CUST-01801,Voltix Home,VH-CLEAN-03,3,3,0,on_time
ORD-00102,CUST-00355,Voltix Home,VH-CLEAN-03,4,3,0,on_time
ORD-00103,CUST-00044,DermaCo Labs,DL-CLEANSER-03,4,4,0,on_time
ORD-00104,CUST-01869,DermaCo Labs,DL-CLEANSER-03,3,3,0,on_time
ORD-00105,CUST-00932,VitalEdge Wellness,VW-PROTEIN-02,4,4,0,on_time
ORD-00106,CUST-01394,Voltix Home,VH-BATTERY-02,2,3,0,on_time
ORD-00107,CUST-02119,DermaCo Labs,DL-CREAM-02,3,2,0,on_time
ORD-00108,CUST-00619,Northstar Apparel,NA-JACKET-03,5,3,0,on_time
ORD-00109,CUST-00783,Northstar Apparel,NA-JACKET-03,4,6,1,late
ORD-00110,CUST-00679,DermaCo Labs,DL-SERUM-01,2,1,0,on_time
ORD-00111,CUST-00963,VitalEdge Wellness,VW-PROTEIN-02,5,7,1,late
ORD-00112,CUST-02091,VitalEdge Wellness,VW-CAPSULE-01,2,1,0,on_time
ORD-00113,CUST-01777,VitalEdge Wellness,VW-CAPSULE-01,4,6,1,late
ORD-00114,CUST-01990,VitalEdge Wellness,VW-CAPSULE-01,5,6,0,on_time
ORD-00115,CUST-01437,Northstar Apparel,NA-DENIM-02,3,4,0,on_time
ORD-00116,CUST-01595,Voltix Home,VH-BATTERY-02,2,2,0,on_time
ORD-00117,CUST-02034,VitalEdge Wellness,VW-CAPSULE-01,3,1,0,on_time
ORD-00118,CUST-01570,VitalEdge Wellness,VW-PROTEIN-02,5,6,0,on_time
ORD-00119,CUST-01628,Voltix Home,VH-CLEAN-03,3,3,0,on_time
ORD-00120,CUST-01731,DermaCo Labs,DL-CLEANSER-03,5,7,1,late
ORD-00121,CUST-01287,VitalEdge Wellness,VW-PROTEIN-02,5,6,0,on_time
ORD-00122,CUST-02415,VitalEdge Wellness,VW-PROTEIN-02,4,6,1,late
ORD-00123,CUST-00179,DermaCo Labs,DL-CREAM-02,2,2,0,on_time
ORD-00124,CUST-01194,DermaCo Labs,DL-CLEANSER-03,3,6,1,late
ORD-00125,CUST-00322,Voltix Home,VH-BATTERY-02,3,5,1,late
ORD-00126,CUST-01445,VitalEdge Wellness,VW-BUNDLE-03,4,4,0,on_time
ORD-00127,CUST-02366,Northstar Apparel,NA-JACKET-03,3,4,0,on_time
ORD-00128,CUST-01702,Voltix Home,VH-BATTERY-02,2,1,0,on_time
ORD-00129,CUST-00830,DermaCo Labs,DL-CLEANSER-03,4,6,1,late
ORD-00130,CUST-01923,VitalEdge Wellness,VW-CAPSULE-01,3,3,0,on_time
ORD-00131,CUST-02368,Northstar Apparel,NA-TEE-01,2,3,0,on_time
ORD-00132,CUST-00863,VitalEdge Wellness,VW-BUNDLE-03,2,3,0,on_time
ORD-00133,CUST-02330,VitalEdge Wellness,VW-CAPSULE-01,5,7,1,late
ORD-00134,CUST-02085,DermaCo Labs,DL-CREAM-02,3,6,1,late
ORD-00135,CUST-01957,Voltix Home,VH-BATTERY-02,3,3,0,on_time
ORD-00136,CUST-00788,Northstar Apparel,NA-JACKET-03,4,3,0,on_time
ORD-00137,CUST-01392,Northstar Apparel,NA-JACKET-03,4,6,1,late
ORD-00138,CUST-01905,DermaCo Labs,DL-CLEANSER-03,4,3,0,on_time
ORD-00139,CUST-02363,Northstar Apparel,NA-TEE-01,4,6,1,late
ORD-00140,CUST-00656,Voltix Home,VH-BATTERY-02,2,4,1,late
ORD-00141,CUST-00938,DermaCo Labs,DL-CLEANSER-03,4,6,1,late
ORD-00142,CUST-01868,Northstar Apparel,NA-DENIM-02,4,6,1,late
ORD-00143,CUST-01229,DermaCo Labs,DL-CLEANSER-03,2,3,0,on_time
ORD-00144,CUST-00566,Northstar Apparel,NA-TEE-01,3,2,0,on_time
ORD-00145,CUST-01901,VitalEdge Wellness,VW-PROTEIN-02,5,7,1,late
ORD-00146,CUST-02061,Voltix Home,VH-BATTERY-02,4,6,1,late
ORD-00147,CUST-00837,Northstar Apparel,NA-TEE-01,5,7,1,late
ORD-00148,CUST-00533,VitalEdge Wellness,VW-PROTEIN-02,2,6,1,late
ORD-00149,CUST-01835,DermaCo Labs,DL-SERUM-01,5,8,1,late
ORD-00150,CUST-01387,Northstar Apparel,NA-DENIM-02,5,5,0,on_time
ORD-00151,CUST-01553,Northstar Apparel,NA-JACKET-03,2,2,0,on_time
ORD-00152,CUST-02088,DermaCo Labs,DL-SERUM-01,2,5,1,late
ORD-00153,CUST-00094,Northstar Apparel,NA-DENIM-02,3,3,0,on_time
ORD-00154,CUST-02205,VitalEdge Wellness,VW-BUNDLE-03,2,1,0,on_time
ORD-00155,CUST-01099,DermaCo Labs,DL-CREAM-02,5,6,0,on_time
ORD-00156,CUST-00565,Voltix Home,VH-FILTER-01,2,3,0,on_time
ORD-00157,CUST-00283,Voltix Home,VH-CLEAN-03,5,7,1,late
ORD-00158,CUST-00135,Northstar Apparel,NA-JACKET-03,4,6,1,late
ORD-00159,CUST-00811,DermaCo Labs,DL-CLEANSER-03,3,3,0,on_time
ORD-00160,CUST-02097,Northstar Apparel,NA-JACKET-03,2,1,0,on_time
ORD-00161,CUST-00680,DermaCo Labs,DL-CREAM-02,4,4,0,on_time
ORD-00162,CUST-01725,Northstar Apparel,NA-DENIM-02,4,4,0,on_time
ORD-00163,CUST-02451,VitalEdge Wellness,VW-BUNDLE-03,5,7,1,late
ORD-00164,CUST-00870,VitalEdge Wellness,VW-BUNDLE-03,4,4,0,on_time
ORD-00165,CUST-01701,Northstar Apparel,NA-JACKET-03,2,2,0,on_time
ORD-00166,CUST-01034,Northstar Apparel,NA-DENIM-02,3,4,0,on_time
ORD-00167,CUST-01744,Northstar Apparel,NA-DENIM-02,2,1,0,on_time
ORD-00168,CUST-01274,DermaCo Labs,DL-SERUM-01,5,3,0,on_time
ORD-00169,CUST-00523,VitalEdge Wellness,VW-CAPSULE-01,5,4,0,on_time
ORD-00170,CUST-00462,DermaCo Labs,DL-CLEANSER-03,2,3,0,on_time
ORD-00171,CUST-00436,VitalEdge Wellness,VW-BUNDLE-03,4,7,1,late
ORD-00172,CUST-00415,DermaCo Labs,DL-CREAM-02,5,5,0,on_time
ORD-00173,CUST-00762,VitalEdge Wellness,VW-CAPSULE-01,3,4,0,on_time
ORD-00174,CUST-01134,Northstar Apparel,NA-TEE-01,2,2,0,on_time
ORD-00175,CUST-01884,Northstar Apparel,NA-TEE-01,3,4,0,on_time
ORD-00176,CUST-01360,Voltix Home,VH-BATTERY-02,4,6,1,late
ORD-00177,CUST-00222,Northstar Apparel,NA-DENIM-02,2,1,0,on_time
ORD-00178,CUST-01051,Voltix Home,VH-FILTER-01,2,5,1,late
ORD-00179,CUST-02396,Northstar Apparel,NA-JACKET-03,3,3,0,on_time
ORD-00180,CUST-02587,VitalEdge Wellness,VW-PROTEIN-02,4,7,1,late
ORD-00181,CUST-01693,DermaCo Labs,DL-CLEANSER-03,4,5,0,on_time
ORD-00182,CUST-00999,Voltix Home,VH-CLEAN-03,4,4,0,on_time
ORD-00183,CUST-00820,Voltix Home,VH-BATTERY-02,3,1,0,on_time
ORD-00184,CUST-02384,DermaCo Labs,DL-CREAM-02,4,5,0,on_time
ORD-00185,CUST-02092,Voltix Home,VH-CLEAN-03,4,5,0,on_time
ORD-00186,CUST-01600,DermaCo Labs,DL-CLEANSER-03,3,3,0,on_time
ORD-00187,CUST-02424,VitalEdge Wellness,VW-PROTEIN-02,2,1,0,on_time
ORD-00188,CUST-00652,DermaCo Labs,DL-CREAM-02,5,5,0,on_time
ORD-00189,CUST-02219,Northstar Apparel,NA-DENIM-02,2,3,0,on_time
ORD-00190,CUST-01042,VitalEdge Wellness,VW-BUNDLE-03,3,3,0,on_time
ORD-00191,CUST-01033,VitalEdge Wellness,VW-CAPSULE-01,4,6,1,late
ORD-00192,CUST-01573,Northstar Apparel,NA-DENIM-02,5,7,1,late
ORD-00193,CUST-02447,VitalEdge Wellness,VW-PROTEIN-02,4,3,0,on_time
ORD-00194,CUST-02282,Northstar Apparel,NA-DENIM-02,4,4,0,on_time
ORD-00195,CUST-00394,Voltix Home,VH-BATTERY-02,4,3,0,on_time
ORD-00196,CUST-02545,DermaCo Labs,DL-CLEANSER-03,2,2,0,on_time
ORD-00197,CUST-02105,DermaCo Labs,DL-CREAM-02,2,2,0,on_time
ORD-00198,CUST-00297,DermaCo Labs,DL-SERUM-01,3,3,0,on_time
ORD-00199,CUST-01757,Northstar Apparel,NA-JACKET-03,4,1,0,on_time
ORD-00200,CUST-00650,VitalEdge Wellness,VW-CAPSULE-01,4,4,0,on_time
ORD-00201,CUST-00169,VitalEdge Wellness,VW-CAPSULE-01,5,7,1,late
ORD-00202,CUST-01226,Northstar Apparel,NA-TEE-01,2,1,0,on_time
ORD-00203,CUST-01084,Northstar Apparel,NA-JACKET-03,4,5,0,on_time
ORD-00204,CUST-01062,VitalEdge Wellness,VW-BUNDLE-03,2,5,1,late
ORD-00205,CUST-01399,Voltix Home,VH-FILTER-01,5,7,1,late
ORD-00206,CUST-01994,Voltix Home,VH-CLEAN-03,4,4,0,on_time
ORD-00207,CUST-01690,VitalEdge Wellness,VW-PROTEIN-02,2,1,0,on_time
ORD-00208,CUST-00606,DermaCo Labs,DL-CLEANSER-03,2,1,0,on_time
ORD-00209,CUST-00211,Northstar Apparel,NA-DENIM-02,4,5,0,on_time
ORD-00210,CUST-01085,Northstar Apparel,NA-DENIM-02,4,2,0,on_time
ORD-00211,CUST-02486,Voltix Home,VH-BATTERY-02,4,10,1,late
ORD-00212,CUST-02087,Northstar Apparel,NA-TEE-01,3,1,0,on_time
ORD-00213,CUST-01969,VitalEdge Wellness,VW-PROTEIN-02,3,3,0,on_time
ORD-00214,CUST-00890,VitalEdge Wellness,VW-PROTEIN-02,5,5,0,on_time
ORD-00215,CUST-00234,VitalEdge Wellness,VW-PROTEIN-02,4,2,0,on_time
ORD-00216,CUST-00112,VitalEdge Wellness,VW-CAPSULE-01,4,3,0,on_time
ORD-00217,CUST-01613,Northstar Apparel,NA-TEE-01,4,5,0,on_time
ORD-00218,CUST-02595,DermaCo Labs,DL-CREAM-02,4,3,0,on_time
ORD-00219,CUST-01538,DermaCo Labs,DL-CREAM-02,5,5,0,on_time
ORD-00220,CUST-00930,Northstar Apparel,NA-DENIM-02,4,5,0,on_time
ORD-00221,CUST-02459,Northstar Apparel,NA-TEE-01,3,3,0,on_time
ORD-00222,CUST-00255,DermaCo Labs,DL-CREAM-02,2,2,0,on_time
ORD-00223,CUST-00052,Northstar Apparel,NA-TEE-01,2,2,0,on_time
ORD-00224,CUST-00247,Voltix Home,VH-FILTER-01,3,6,1,late
ORD-00225,CUST-02111,Voltix Home,VH-CLEAN-03,4,7,1,late
ORD-00226,CUST-01682,Voltix Home,VH-BATTERY-02,4,4,0,on_time
ORD-00227,CUST-01367,Voltix Home,VH-FILTER-01,3,5,1,late
ORD-00228,CUST-00227,VitalEdge Wellness,VW-BUNDLE-03,5,8,1,late
ORD-00229,CUST-01406,VitalEdge Wellness,VW-PROTEIN-02,3,2,0,on_time
ORD-00230,CUST-02184,Voltix Home,VH-CLEAN-03,5,6,0,on_time
ORD-00231,CUST-01196,DermaCo Labs,DL-CREAM-02,4,4,0,on_time
ORD-00232,CUST-00648,Northstar Apparel,NA-DENIM-02,4,1,0,on_time
ORD-00233,CUST-02342,Northstar Apparel,NA-JACKET-03,2,3,0,on_time
ORD-00234,CUST-02540,VitalEdge Wellness,VW-PROTEIN-02,4,3,0,on_time
ORD-00235,CUST-02311,VitalEdge Wellness,VW-PROTEIN-02,3,5,1,late
ORD-00236,CUST-02239,Voltix Home,VH-BATTERY-02,2,5,1,late
ORD-00237,CUST-02115,Voltix Home,VH-BATTERY-02,3,4,0,on_time
ORD-00238,CUST-00213,Voltix Home,VH-FILTER-01,5,5,0,on_time
ORD-00239,CUST-01671,Voltix Home,VH-CLEAN-03,3,2,0,on_time
ORD-00240,CUST-00749,Voltix Home,VH-CLEAN-03,3,5,1,late
ORD-00241,CUST-01488,Voltix Home,VH-CLEAN-03,3,4,0,on_time
ORD-00242,CUST-01712,VitalEdge Wellness,VW-PROTEIN-02,4,3,0,on_time
ORD-00243,CUST-02245,Voltix Home,VH-CLEAN-03,3,3,0,on_time
ORD-00244,CUST-00431,Northstar Apparel,NA-DENIM-02,3,2,0,on_time
ORD-00245,CUST-01069,Northstar Apparel,NA-JACKET-03,2,2,0,on_time
ORD-00246,CUST-01193,DermaCo Labs,DL-CREAM-02,2,7,1,late
ORD-00247,CUST-00671,VitalEdge Wellness,VW-CAPSULE-01,4,8,1,late
ORD-00248,CUST-00706,DermaCo Labs,DL-SERUM-01,5,8,1,late
ORD-00249,CUST-00437,DermaCo Labs,DL-CLEANSER-03,3,1,0,on_time
ORD-00250,CUST-01072,Voltix Home,VH-FILTER-01,3,4,0,on_time
ORD-00251,CUST-01400,Voltix Home,VH-BATTERY-02,5,7,1,late
ORD-00252,CUST-00219,Northstar Apparel,NA-JACKET-03,5,6,0,on_time
ORD-00253,CUST-02432,Voltix Home,VH-CLEAN-03,3,5,1,late
ORD-00254,CUST-02227,Northstar Apparel,NA-DENIM-02,3,7,1,late
ORD-00255,CUST-02551,Northstar Apparel,NA-JACKET-03,3,4,0,on_time
ORD-00256,CUST-00299,DermaCo Labs,DL-CLEANSER-03,3,4,0,on_time
ORD-00257,CUST-02221,Voltix Home,VH-CLEAN-03,2,1,0,on_time
ORD-00258,CUST-01848,Voltix Home,VH-BATTERY-02,5,2,0,on_time
ORD-00259,CUST-02153,Northstar Apparel,NA-JACKET-03,2,5,1,late
ORD-00260,CUST-01826,Voltix Home,VH-BATTERY-02,3,6,1,late
ORD-00261,CUST-02374,Northstar Apparel,NA-TEE-01,4,5,0,on_time
ORD-00262,CUST-02292,DermaCo Labs,DL-CREAM-02,2,4,1,late
ORD-00263,CUST-00903,Northstar Apparel,NA-DENIM-02,4,6,1,late
ORD-00264,CUST-02275,Northstar Apparel,NA-TEE-01,3,3,0,on_time
ORD-00265,CUST-01126,VitalEdge Wellness,VW-BUNDLE-03,4,6,1,late
ORD-00266,CUST-01079,Voltix Home,VH-BATTERY-02,2,2,0,on_time
ORD-00267,CUST-00766,Voltix Home,VH-FILTER-01,4,5,0,on_time
ORD-00268,CUST-01741,Northstar Apparel,NA-DENIM-02,4,4,0,on_time
ORD-00269,CUST-00290,DermaCo Labs,DL-CLEANSER-03,2,4,1,late
ORD-00270,CUST-02522,VitalEdge Wellness,VW-CAPSULE-01,2,2,0,on_time
ORD-00271,CUST-00813,DermaCo Labs,DL-SERUM-01,4,5,0,on_time
ORD-00272,CUST-00912,DermaCo Labs,DL-SERUM-01,3,5,1,late
ORD-00273,CUST-00971,Northstar Apparel,NA-JACKET-03,3,2,0,on_time
ORD-00274,CUST-01422,Northstar Apparel,NA-TEE-01,5,8,1,late
ORD-00275,CUST-01090,Northstar Apparel,NA-DENIM-02,3,5,1,late
ORD-00276,CUST-02481,Northstar Apparel,NA-JACKET-03,3,2,0,on_time
ORD-00277,CUST-01045,Voltix Home,VH-CLEAN-03,2,2,0,on_time
ORD-00278,CUST-00260,VitalEdge Wellness,VW-BUNDLE-03,4,5,0,on_time
ORD-00279,CUST-00097,Voltix Home,VH-FILTER-01,3,3,0,on_time
ORD-00280,CUST-00252,Northstar Apparel,NA-DENIM-02,3,6,1,late
ORD-00281,CUST-02073,Northstar Apparel,NA-DENIM-02,3,4,0,on_time
ORD-00282,CUST-00509,Northstar Apparel,NA-DENIM-02,4,9,1,late
ORD-00283,CUST-00368,DermaCo Labs,DL-SERUM-01,5,4,0,on_time
ORD-00284,CUST-01074,Voltix Home,VH-CLEAN-03,4,6,1,late
ORD-00285,CUST-02500,VitalEdge Wellness,VW-PROTEIN-02,2,3,0,on_time
ORD-00286,CUST-01533,DermaCo Labs,DL-SERUM-01,4,8,1,late
ORD-00287,CUST-01974,DermaCo Labs,DL-CLEANSER-03,4,5,0,on_time
ORD-00288,CUST-01815,Northstar Apparel,NA-JACKET-03,3,4,0,on_time
ORD-00289,CUST-01500,VitalEdge Wellness,VW-CAPSULE-01,3,3,0,on_time
ORD-00290,CUST-01426,DermaCo Labs,DL-CREAM-02,3,2,0,on_time
ORD-00291,CUST-01562,DermaCo Labs,DL-CREAM-02,3,5,1,late
ORD-00292,CUST-00931,Northstar Apparel,NA-DENIM-02,5,3,0,on_time
ORD-00293,CUST-01657,VitalEdge Wellness,VW-PROTEIN-02,3,5,1,late
ORD-00294,CUST-02387,DermaCo Labs,DL-SERUM-01,4,6,1,late
ORD-00295,CUST-00412,Voltix Home,VH-CLEAN-03,4,3,0,on_time
ORD-00296,CUST-01865,Northstar Apparel,NA-DENIM-02,5,4,0,on_time
ORD-00297,CUST-01988,DermaCo Labs,DL-SERUM-01,4,6,1,late
ORD-00298,CUST-02169,DermaCo Labs,DL-SERUM-01,4,5,0,on_time
ORD-00299,CUST-02394,Northstar Apparel,NA-DENIM-02,3,4,0,on_time
ORD-00300,CUST-02064,Voltix Home,VH-FILTER-01,3,6,1,late
ORD-00301,CUST-02123,DermaCo Labs,DL-CREAM-02,5,9,1,late
ORD-00302,CUST-00481,Northstar Apparel,NA-DENIM-02,4,5,0,on_time
ORD-00303,CUST-00860,Northstar Apparel,NA-TEE-01,2,1,0,on_time
ORD-00304,CUST-00031,Voltix Home,VH-CLEAN-03,3,6,1,late
ORD-00305,CUST-00742,Voltix Home,VH-FILTER-01,4,5,0,on_time
ORD-00306,CUST-01747,DermaCo Labs,DL-CREAM-02,3,2,0,on_time
ORD-00307,CUST-01873,DermaCo Labs,DL-SERUM-01,3,2,0,on_time
ORD-00308,CUST-02107,Voltix Home,VH-BATTERY-02,4,4,0,on_time
ORD-00309,CUST-01205,VitalEdge Wellness,VW-PROTEIN-02,5,5,0,on_time
ORD-00310,CUST-01188,Northstar Apparel,NA-DENIM-02,5,6,0,on_time
ORD-00311,CUST-02070,VitalEdge Wellness,VW-BUNDLE-03,5,7,1,late
ORD-00312,CUST-01717,VitalEdge Wellness,VW-CAPSULE-01,5,5,0,on_time
ORD-00313,CUST-02381,Northstar Apparel,NA-JACKET-03,5,5,0,on_time
ORD-00314,CUST-01356,Northstar Apparel,NA-DENIM-02,5,5,0,on_time
ORD-00315,CUST-00568,DermaCo Labs,DL-CLEANSER-03,4,6,1,late
ORD-00316,CUST-00531,Voltix Home,VH-FILTER-01,3,4,0,on_time
ORD-00317,CUST-02365,DermaCo Labs,DL-SERUM-01,4,4,0,on_time
ORD-00318,CUST-00238,DermaCo Labs,DL-SERUM-01,2,3,0,on_time
ORD-00319,CUST-00325,VitalEdge Wellness,VW-PROTEIN-02,4,3,0,on_time
ORD-00320,CUST-00110,Northstar Apparel,NA-JACKET-03,2,1,0,on_time
ORD-00321,CUST-01704,DermaCo Labs,DL-CREAM-02,3,5,1,late
ORD-00322,CUST-01561,VitalEdge Wellness,VW-BUNDLE-03,2,4,1,late
