customer_id,brand,region,acquisition_channel,plan,tenure_months,active_subscriptions,monthly_revenue,discount_rate,support_tickets_90d,late_shipments_90d,email_engagement,avg_days_between_orders,churned,churn_risk_score,risk_segment
CUST-00190,Voltix Home,Indonesia,affiliate,annual,5,2,178.38,0.256,0,1,0.231,90.7,0,0.3956,watch
CUST-00191,Northstar Apparel,Philippines,paid_search,quarterly,15,3,78.44,0.142,0,0,0.269,45.3,0,0.15,low
CUST-00192,Voltix Home,Malaysia,affiliate,monthly,31,1,135.24,0.173,1,1,0.487,30.1,0,0.1227,low
CUST-00193,Northstar Apparel,Singapore,display,monthly,4,3,61.71,0.153,2,3,0.474,36.7,1,0.6033,high
CUST-00194,Northstar Apparel,Indonesia,paid_search,quarterly,27,2,53.12,0.036,0,1,0.219,40.5,0,0.0949,low
CUST-00195,Northstar Apparel,Thailand,affiliate,annual,3,1,64.35,0.221,0,1,0.536,74.7,0,0.2596,watch
CUST-00196,Northstar Apparel,Indonesia,organic,monthly,2,3,49.47,0.067,3,0,0.533,38.7,1,0.4393,watch
CUST-00197,VitalEdge Wellness,Philippines,display,quarterly,27,2,88.08,0.059,1,0,0.681,67.6,0,0.0865,low
CUST-00198,Northstar Apparel,Singapore,display,monthly,1,1,39.1,0.013,0,0,0.543,39.4,0,0.2823,watch
CUST-00199,Northstar Apparel,Philippines,email,quarterly,27,1,47.32,0.202,0,0,0.594,55.0,0,0.0697,low
CUST-00200,DermaCo Labs,Philippines,paid_search,annual,22,3,69.48,0.187,0,1,0.496,76.7,0,0.1312,low
CUST-00201,VitalEdge Wellness,Singapore,affiliate,quarterly,16,3,93.17,0.123,1,0,0.405,50.1,0,0.1366,low
CUST-00202,Northstar Apparel,Malaysia,paid_search,quarterly,27,3,37.29,0.523,0,0,0.392,47.1,0,0.1491,low
CUST-00203,VitalEdge Wellness,Malaysia,organic,annual,6,2,60.28,0.212,0,0,0.158,75.1,0,0.2407,low
CUST-00204,DermaCo Labs,Singapore,organic,monthly,15,1,44.76,0.068,2,1,0.578,23.9,0,0.2494,low
CUST-00205,Northstar Apparel,Philippines,paid_search,monthly,16,3,55.51,0.086,0,1,0.307,28.1,0,0.1783,low
CUST-00206,VitalEdge Wellness,Indonesia,display,monthly,35,3,65.3,0.074,0,2,0.712,47.9,0,0.08,low
CUST-00207,Voltix Home,Malaysia,affiliate,monthly,23,2,141.83,0.232,0,0,0.428,15.3,0,0.1105,low
CUST-00208,Voltix Home,Thailand,affiliate,monthly,14,3,139.81,0.286,0,0,0.349,54.7,0,0.2447,low
CUST-00209,DermaCo Labs,Singapore,display,monthly,28,3,30.8,0.281,0,0,0.5,40.6,0,0.1537,low
CUST-00210,Voltix Home,Malaysia,email,monthly,12,2,109.18,0.459,0,2,0.411,15.1,0,0.3051,watch
CUST-00211,Northstar Apparel,Thailand,affiliate,quarterly,33,3,68.39,0.109,1,0,0.023,46.9,0,0.1026,low
CUST-00212,Northstar Apparel,Indonesia,organic,quarterly,4,2,45.06,0.295,0,1,0.548,49.2,0,0.2562,watch
CUST-00213,Voltix Home,Malaysia,affiliate,monthly,24,1,120.61,0.133,0,0,0.338,30.8,0,0.1096,low
CUST-00214,Northstar Apparel,Malaysia,display,monthly,31,3,58.24,0.188,1,1,0.457,35.9,1,0.1799,low
CUST-00215,DermaCo Labs,Indonesia,display,monthly,2,2,36.22,0.418,1,1,0.613,22.4,0,0.5105,high
CUST-00216,Voltix Home,Indonesia,organic,monthly,28,1,146.8,0.167,1,1,0.427,41.8,1,0.1907,low
CUST-00217,DermaCo Labs,Singapore,email,monthly,9,1,30.64,0.198,0,0,0.8,27.0,0,0.1529,low
CUST-00218,Northstar Apparel,Thailand,paid_search,monthly,8,3,51.99,0.076,3,0,0.578,13.8,0,0.3081,watch
CUST-00219,Northstar Apparel,Indonesia,display,annual,8,1,27.92,0.077,3,0,0.68,63.9,0,0.3248,watch
CUST-00220,Voltix Home,Thailand,paid_search,monthly,24,2,97.25,0.359,2,0,0.469,33.6,0,0.252,watch
